condition,Cluster,total_time_calendar
Calendar Anchor Condition,Cluster 2,81.74
Map Anchor Condition,Cluster 2,0.8
Calendar Anchor Condition,Cluster 2,47.9
None Anchor Condition,Cluster 2,77.86
None Anchor Condition,Cluster 2,34.45
Calendar Anchor Condition,Cluster 2,40.82
Calendar Anchor Condition,Cluster 1,132.61
Map Anchor Condition,Cluster 2,58.26
None Anchor Condition,Cluster 1,8.0
Map Anchor Condition,Cluster 2,0.0
Calendar Anchor Condition,Cluster 2,84.27
None Anchor Condition,Cluster 2,72.33
None Anchor Condition,Cluster 2,19.1
Map Anchor Condition,Cluster 2,65.82
Map Anchor Condition,Cluster 2,0.0
Map Anchor Condition,Cluster 2,2.6
None Anchor Condition,Cluster 1,77.24
Calendar Anchor Condition,Cluster 2,88.71
None Anchor Condition,Cluster 2,22.36
Calendar Anchor Condition,Cluster 1,138.22
None Anchor Condition,Cluster 2,67.22
Calendar Anchor Condition,Cluster 2,92.4
Calendar Anchor Condition,Cluster 2,70.12
Map Anchor Condition,Cluster 1,158.43
Map Anchor Condition,Cluster 2,2.15
Map Anchor Condition,Cluster 2,0.0
Map Anchor Condition,Cluster 2,46.74
Map Anchor Condition,Cluster 2,0.0
None Anchor Condition,Cluster 2,72.52
Map Anchor Condition,Cluster 2,149.98
Map Anchor Condition,Cluster 1,11.4
Calendar Anchor Condition,Cluster 2,89.37
None Anchor Condition,Cluster 2,85.15
None Anchor Condition,Cluster 1,116.26
Calendar Anchor Condition,Cluster 2,40.8
Calendar Anchor Condition,Cluster 2,16.56
None Anchor Condition,Cluster 1,95.8
Map Anchor Condition,Cluster 2,7.01
Map Anchor Condition,Cluster 1,12.8
Map Anchor Condition,Cluster 1,31.0
None Anchor Condition,Cluster 2,18.29
Calendar Anchor Condition,Cluster 2,87.69
None Anchor Condition,Cluster 2,119.4
Calendar Anchor Condition,Cluster 2,168.8
Map Anchor Condition,Cluster 2,5.01
Calendar Anchor Condition,Cluster 2,78.71
None Anchor Condition,Cluster 2,104.82
Calendar Anchor Condition,Cluster 2,42.97
Calendar Anchor Condition,Cluster 1,180.78
None Anchor Condition,Cluster 2,44.79
None Anchor Condition,Cluster 2,112.87
Map Anchor Condition,Cluster 2,0.24
None Anchor Condition,Cluster 2,125.04
Calendar Anchor Condition,Cluster 2,85.93
Calendar Anchor Condition,Cluster 2,151.33
Map Anchor Condition,Cluster 2,69.97
Map Anchor Condition,Cluster 1,26.45
Calendar Anchor Condition,Cluster 2,97.71
None Anchor Condition,Cluster 1,25.19
None Anchor Condition,Cluster 1,65.36
