condition,Cluster,total_time_map
Calendar Anchor Condition,Cluster 2,8.34
Map Anchor Condition,Cluster 2,97.9
Calendar Anchor Condition,Cluster 2,103.1
None Anchor Condition,Cluster 2,125.16
None Anchor Condition,Cluster 2,159.77
Calendar Anchor Condition,Cluster 2,68.2
Calendar Anchor Condition,Cluster 1,47.03
Map Anchor Condition,Cluster 2,154.41
None Anchor Condition,Cluster 1,189.66
Map Anchor Condition,Cluster 2,98.59
Calendar Anchor Condition,Cluster 2,42.84
None Anchor Condition,Cluster 2,226.06
None Anchor Condition,Cluster 2,170.47
Map Anchor Condition,Cluster 2,70.22
Map Anchor Condition,Cluster 2,54.6
Map Anchor Condition,Cluster 2,152.25
None Anchor Condition,Cluster 1,75.42
Calendar Anchor Condition,Cluster 2,5.27
None Anchor Condition,Cluster 2,113.05
Calendar Anchor Condition,Cluster 1,22.26
None Anchor Condition,Cluster 2,167.85
Calendar Anchor Condition,Cluster 2,15.89
Calendar Anchor Condition,Cluster 2,7.0
Map Anchor Condition,Cluster 1,51.04
Map Anchor Condition,Cluster 2,125.27
Map Anchor Condition,Cluster 2,124.47
Map Anchor Condition,Cluster 2,130.36
Map Anchor Condition,Cluster 2,178.06
None Anchor Condition,Cluster 2,140.55
Map Anchor Condition,Cluster 2,190.45
Map Anchor Condition,Cluster 1,81.3
Calendar Anchor Condition,Cluster 2,7.31
None Anchor Condition,Cluster 2,80.55
None Anchor Condition,Cluster 1,20.43
Calendar Anchor Condition,Cluster 2,33.22
Calendar Anchor Condition,Cluster 2,97.22
None Anchor Condition,Cluster 1,86.98
Map Anchor Condition,Cluster 2,130.64
Map Anchor Condition,Cluster 1,121.83
Map Anchor Condition,Cluster 1,131.68
None Anchor Condition,Cluster 2,122.22
Calendar Anchor Condition,Cluster 2,6.0
None Anchor Condition,Cluster 2,75.22
Calendar Anchor Condition,Cluster 2,56.97
Map Anchor Condition,Cluster 2,180.02
Calendar Anchor Condition,Cluster 2,5.56
None Anchor Condition,Cluster 2,189.42
Calendar Anchor Condition,Cluster 2,70.75
Calendar Anchor Condition,Cluster 1,32.94
None Anchor Condition,Cluster 2,47.62
None Anchor Condition,Cluster 2,127.26
Map Anchor Condition,Cluster 2,131.65
None Anchor Condition,Cluster 2,202.52
Calendar Anchor Condition,Cluster 2,21.94
Calendar Anchor Condition,Cluster 2,106.23
Map Anchor Condition,Cluster 2,98.59
Map Anchor Condition,Cluster 1,67.52
Calendar Anchor Condition,Cluster 2,44.51
None Anchor Condition,Cluster 1,77.01
None Anchor Condition,Cluster 1,123.34
