Cluster,total_interactions_map
Cluster 2,0
Cluster 2,40
Cluster 2,42
Cluster 2,26
Cluster 2,52
Cluster 2,21
Cluster 1,0
Cluster 2,48
Cluster 1,55
Cluster 2,41
Cluster 2,0
Cluster 2,33
Cluster 2,81
Cluster 2,20
Cluster 2,44
Cluster 2,54
Cluster 1,14
Cluster 2,0
Cluster 2,37
Cluster 1,1
Cluster 2,40
Cluster 2,0
Cluster 2,0
Cluster 1,2
Cluster 2,42
Cluster 2,42
Cluster 2,65
Cluster 2,94
Cluster 2,33
Cluster 2,28
Cluster 1,59
Cluster 2,0
Cluster 2,12
Cluster 1,0
Cluster 2,11
Cluster 2,51
Cluster 1,18
Cluster 2,40
Cluster 1,46
Cluster 1,36
Cluster 2,45
Cluster 2,0
Cluster 2,15
Cluster 2,0
Cluster 2,73
Cluster 2,0
Cluster 2,46
Cluster 2,28
Cluster 1,0
Cluster 2,15
Cluster 2,21
Cluster 2,47
Cluster 2,6
Cluster 2,0
Cluster 2,4
Cluster 2,29
Cluster 1,23
Cluster 2,18
Cluster 1,34
Cluster 1,24
