condition,Cluster,total_interactions_calendar
Calendar Anchor,Cluster 2,56
Map Anchor,Cluster 2,0
Calendar Anchor,Cluster 2,33
No Anchor,Cluster 2,61
No Anchor,Cluster 2,10
Calendar Anchor,Cluster 2,22
Calendar Anchor,Cluster 1,56
Map Anchor,Cluster 2,23
No Anchor,Cluster 1,1
Map Anchor,Cluster 2,0
Calendar Anchor,Cluster 2,61
No Anchor,Cluster 2,32
No Anchor,Cluster 2,3
Map Anchor,Cluster 2,45
Map Anchor,Cluster 2,0
Map Anchor,Cluster 2,0
No Anchor,Cluster 1,31
Calendar Anchor,Cluster 2,67
No Anchor,Cluster 2,32
Calendar Anchor,Cluster 1,63
No Anchor,Cluster 2,24
Calendar Anchor,Cluster 2,52
Calendar Anchor,Cluster 2,45
Map Anchor,Cluster 1,79
Map Anchor,Cluster 2,0
Map Anchor,Cluster 2,0
Map Anchor,Cluster 2,41
Map Anchor,Cluster 2,0
No Anchor,Cluster 2,34
Map Anchor,Cluster 2,50
Map Anchor,Cluster 1,0
Calendar Anchor,Cluster 2,45
No Anchor,Cluster 2,35
No Anchor,Cluster 1,50
Calendar Anchor,Cluster 2,30
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 1,25
Map Anchor,Cluster 2,0
Map Anchor,Cluster 1,0
Map Anchor,Cluster 1,0
No Anchor,Cluster 2,28
Calendar Anchor,Cluster 2,47
No Anchor,Cluster 2,45
Calendar Anchor,Cluster 2,87
Map Anchor,Cluster 2,0
Calendar Anchor,Cluster 2,50
No Anchor,Cluster 2,67
Calendar Anchor,Cluster 2,27
Calendar Anchor,Cluster 1,93
No Anchor,Cluster 2,19
No Anchor,Cluster 2,92
Map Anchor,Cluster 2,1
No Anchor,Cluster 2,46
Calendar Anchor,Cluster 2,48
Calendar Anchor,Cluster 2,53
Map Anchor,Cluster 2,47
Map Anchor,Cluster 1,28
Calendar Anchor,Cluster 2,84
No Anchor,Cluster 1,19
No Anchor,Cluster 1,35
