condition,total_interactions_map
Calendar Anchor,0
Map Anchor,40
Calendar Anchor,42
No Anchor,26
No Anchor,52
Calendar Anchor,21
Calendar Anchor,0
Map Anchor,48
No Anchor,55
Map Anchor,41
Calendar Anchor,0
No Anchor,33
No Anchor,81
Map Anchor,20
Map Anchor,44
Map Anchor,54
No Anchor,14
Calendar Anchor,0
No Anchor,37
Calendar Anchor,1
No Anchor,40
Calendar Anchor,0
Calendar Anchor,0
Map Anchor,2
Map Anchor,42
Map Anchor,42
Map Anchor,65
Map Anchor,94
No Anchor,33
Map Anchor,28
Map Anchor,59
Calendar Anchor,0
No Anchor,12
No Anchor,0
Calendar Anchor,11
Calendar Anchor,51
No Anchor,18
Map Anchor,40
Map Anchor,46
Map Anchor,36
No Anchor,45
Calendar Anchor,0
No Anchor,15
Calendar Anchor,0
Map Anchor,73
Calendar Anchor,0
No Anchor,46
Calendar Anchor,28
Calendar Anchor,0
No Anchor,15
No Anchor,21
Map Anchor,47
No Anchor,6
Calendar Anchor,0
Calendar Anchor,4
Map Anchor,29
Map Anchor,23
Calendar Anchor,18
No Anchor,34
No Anchor,24
