Cluster,total_time_map
Cluster 2,8.34
Cluster 2,97.9
Cluster 2,103.1
Cluster 2,125.16
Cluster 2,159.77
Cluster 2,68.2
Cluster 1,47.03
Cluster 2,154.41
Cluster 1,189.66
Cluster 2,98.59
Cluster 2,42.84
Cluster 2,226.06
Cluster 2,170.47
Cluster 2,70.22
Cluster 2,54.6
Cluster 2,152.25
Cluster 1,75.42
Cluster 2,5.27
Cluster 2,113.05
Cluster 1,22.26
Cluster 2,167.85
Cluster 2,15.89
Cluster 2,7.0
Cluster 1,51.04
Cluster 2,125.27
Cluster 2,124.47
Cluster 2,130.36
Cluster 2,178.06
Cluster 2,140.55
Cluster 2,190.45
Cluster 1,81.3
Cluster 2,7.31
Cluster 2,80.55
Cluster 1,20.43
Cluster 2,33.22
Cluster 2,97.22
Cluster 1,86.98
Cluster 2,130.64
Cluster 1,121.83
Cluster 1,131.68
Cluster 2,122.22
Cluster 2,6.0
Cluster 2,75.22
Cluster 2,56.97
Cluster 2,180.02
Cluster 2,5.56
Cluster 2,189.42
Cluster 2,70.75
Cluster 1,32.94
Cluster 2,47.62
Cluster 2,127.26
Cluster 2,131.65
Cluster 2,202.52
Cluster 2,21.94
Cluster 2,106.23
Cluster 2,98.59
Cluster 1,67.52
Cluster 2,44.51
Cluster 1,77.01
Cluster 1,123.34
