condition,Cluster,total_time_map
Calendar Anchor,Cluster 2,8.34
Map Anchor,Cluster 2,97.9
Calendar Anchor,Cluster 2,103.1
No Anchor,Cluster 2,125.16
No Anchor,Cluster 2,159.77
Calendar Anchor,Cluster 2,68.2
Calendar Anchor,Cluster 1,47.03
Map Anchor,Cluster 2,154.41
No Anchor,Cluster 1,189.66
Map Anchor,Cluster 2,98.59
Calendar Anchor,Cluster 2,42.84
No Anchor,Cluster 2,226.06
No Anchor,Cluster 2,170.47
Map Anchor,Cluster 2,70.22
Map Anchor,Cluster 2,54.6
Map Anchor,Cluster 2,152.25
No Anchor,Cluster 1,75.42
Calendar Anchor,Cluster 2,5.27
No Anchor,Cluster 2,113.05
Calendar Anchor,Cluster 1,22.26
No Anchor,Cluster 2,167.85
Calendar Anchor,Cluster 2,15.89
Calendar Anchor,Cluster 2,7.0
Map Anchor,Cluster 1,51.04
Map Anchor,Cluster 2,125.27
Map Anchor,Cluster 2,124.47
Map Anchor,Cluster 2,130.36
Map Anchor,Cluster 2,178.06
No Anchor,Cluster 2,140.55
Map Anchor,Cluster 2,190.45
Map Anchor,Cluster 1,81.3
Calendar Anchor,Cluster 2,7.31
No Anchor,Cluster 2,80.55
No Anchor,Cluster 1,20.43
Calendar Anchor,Cluster 2,33.22
Calendar Anchor,Cluster 2,97.22
No Anchor,Cluster 1,86.98
Map Anchor,Cluster 2,130.64
Map Anchor,Cluster 1,121.83
Map Anchor,Cluster 1,131.68
No Anchor,Cluster 2,122.22
Calendar Anchor,Cluster 2,6.0
No Anchor,Cluster 2,75.22
Calendar Anchor,Cluster 2,56.97
Map Anchor,Cluster 2,180.02
Calendar Anchor,Cluster 2,5.56
No Anchor,Cluster 2,189.42
Calendar Anchor,Cluster 2,70.75
Calendar Anchor,Cluster 1,32.94
No Anchor,Cluster 2,47.62
No Anchor,Cluster 2,127.26
Map Anchor,Cluster 2,131.65
No Anchor,Cluster 2,202.52
Calendar Anchor,Cluster 2,21.94
Calendar Anchor,Cluster 2,106.23
Map Anchor,Cluster 2,98.59
Map Anchor,Cluster 1,67.52
Calendar Anchor,Cluster 2,44.51
No Anchor,Cluster 1,77.01
No Anchor,Cluster 1,123.34
