condition,total_time_calendar
Calendar Anchor,81.74
Map Anchor,0.8
Calendar Anchor,47.9
No Anchor,77.86
No Anchor,34.45
Calendar Anchor,40.82
Calendar Anchor,132.61
Map Anchor,58.26
No Anchor,8.0
Map Anchor,0.0
Calendar Anchor,84.27
No Anchor,72.33
No Anchor,19.1
Map Anchor,65.82
Map Anchor,0.0
Map Anchor,2.6
No Anchor,77.24
Calendar Anchor,88.71
No Anchor,22.36
Calendar Anchor,138.22
No Anchor,67.22
Calendar Anchor,92.4
Calendar Anchor,70.12
Map Anchor,158.43
Map Anchor,2.15
Map Anchor,0.0
Map Anchor,46.74
Map Anchor,0.0
No Anchor,72.52
Map Anchor,149.98
Map Anchor,11.4
Calendar Anchor,89.37
No Anchor,85.15
No Anchor,116.26
Calendar Anchor,40.8
Calendar Anchor,16.56
No Anchor,95.8
Map Anchor,7.01
Map Anchor,12.8
Map Anchor,31.0
No Anchor,18.29
Calendar Anchor,87.69
No Anchor,119.4
Calendar Anchor,168.8
Map Anchor,5.01
Calendar Anchor,78.71
No Anchor,104.82
Calendar Anchor,42.97
Calendar Anchor,180.78
No Anchor,44.79
No Anchor,112.87
Map Anchor,0.24
No Anchor,125.04
Calendar Anchor,85.93
Calendar Anchor,151.33
Map Anchor,69.97
Map Anchor,26.45
Calendar Anchor,97.71
No Anchor,25.19
No Anchor,65.36
