condition,total_time_map
Calendar Anchor,8.34
Map Anchor,97.9
Calendar Anchor,103.1
No Anchor,125.16
No Anchor,159.77
Calendar Anchor,68.2
Calendar Anchor,47.03
Map Anchor,154.41
No Anchor,189.66
Map Anchor,98.59
Calendar Anchor,42.84
No Anchor,226.06
No Anchor,170.47
Map Anchor,70.22
Map Anchor,54.6
Map Anchor,152.25
No Anchor,75.42
Calendar Anchor,5.27
No Anchor,113.05
Calendar Anchor,22.26
No Anchor,167.85
Calendar Anchor,15.89
Calendar Anchor,7.0
Map Anchor,51.04
Map Anchor,125.27
Map Anchor,124.47
Map Anchor,130.36
Map Anchor,178.06
No Anchor,140.55
Map Anchor,190.45
Map Anchor,81.3
Calendar Anchor,7.31
No Anchor,80.55
No Anchor,20.43
Calendar Anchor,33.22
Calendar Anchor,97.22
No Anchor,86.98
Map Anchor,130.64
Map Anchor,121.83
Map Anchor,131.68
No Anchor,122.22
Calendar Anchor,6.0
No Anchor,75.22
Calendar Anchor,56.97
Map Anchor,180.02
Calendar Anchor,5.56
No Anchor,189.42
Calendar Anchor,70.75
Calendar Anchor,32.94
No Anchor,47.62
No Anchor,127.26
Map Anchor,131.65
No Anchor,202.52
Calendar Anchor,21.94
Calendar Anchor,106.23
Map Anchor,98.59
Map Anchor,67.52
Calendar Anchor,44.51
No Anchor,77.01
No Anchor,123.34
