"date","country","country_pt","operator","aircraft","total_survivors","description","year","total_fatalities","id","continent"
"10/17/1913","Germany","Alemanha","Militar - Marinha Alemã","Zeppelin L-2 (dirigível)",30,"O gás hidrogênio que estava sendo ventilado foi sugado para o motor dianteiro e inflamado, fazendo com que o dirigível explodisse e queimasse a 3.000 pés.","1913",30,4,"Europa"
"03/05/1915","Belgium","Bélgica","Militar - Marinha Alemã","Zeppelin L-8 (dirigível)",41,"Bateu em árvores ao tentar pousar depois de ser abatido por aeronaves britânicas e francesas.","1915",21,5,"Europa"
"09/03/1915","Germany","Alemanha","Militar - Marinha Alemã","Zeppelin L-10 (dirigível)",19,"Explodiu e queimou perto da Ilha Neuwerk, quando o gás hidrogênio, sendo liberado, foi aceso por um raio.","1915",19,6,"Europa"
"11/21/1916","Germany","Alemanha","Militar - Exército Alemão","Super Zeppelin (dirigível)",28,"Caiu em uma tempestade.","1916",27,10,"Europa"
"03/04/1917","Belgium","Bélgica","Militar - Exército Alemão","Dirigível",20,"Peguei fogo e caiu.","1917",20,12,"Europa"
"10/20/1917","France","França","Militar - Marinha Alemã","Zeppelin L-44 (dirigível)",18,"Abatido por fogo antiaéreo francês.","1917",18,17,"Europa"
"05/10/1918","Germany","Alemanha","Militar - Marinha Alemã","Zeppelin L-70 (dirigível)",22,"Abatido por uma aeronave britânica que caiu de uma altura de 17.000 pés.","1918",22,19,"Europa"
"10/05/1920","Spain","Espanha","Latecoere Companhias Aéreas","Breguet 14",2,"Caiu durante o pouso.","1920",2,40,"Europa"
"09/06/1921","France","França","Franco-Roumaine","Potez IX",5,"Caiu ao fazer uma abordagem para o Aeroporto Le Bourget em Paris.","1921",5,56,"Europa"
"01/14/1922","France","França","Handley Page Transport","Handley Página O / 10",5,"Caiu no campo Le Bourget.","1922",0,58,"Europa"
"04/07/1922","France","França","Daimler Airways / Grands Express Aeriens","de Havilland DH-18 / Farman F-60 Goliath",7,"Uma colisão no ar ocorreu com pouca visibilidade, aproximadamente 18 milhas ao norte de Beauvais, França. Esta foi a primeira colisão comercial no ar na história da aviação. Dois mortos no de Havilland, cinco no Faman F-60.","1922",7,60,"Europa"
"06/25/1925","France","França","KLM Royal Dutch Airlines","Fokker (KLM) F.III",4,"Caiu com mau tempo.","1925",4,92,"Europa"
"07/24/1926","Germany","Alemanha","Deutsche Lufthansa","Junkers F-13",4,"Relacionado com o clima.","1926",4,104,"Europa"
"10/08/1926","Germany","Alemanha","Deutsche Lufthansa","Fokker FG III",4,"Relacionado com o clima.","1926",4,107,"Europa"
"04/22/1927","Germany","Alemanha","Deutsche Lufthansa","Fokker FG III",2,"Falha do motor.","1927",2,116,"Europa"
"07/27/1927","Germany","Alemanha","Deutsche Lufthansa","Junkers F-13",5,"Falha do motor.","1927",5,118,"Europa"
"09/22/1927","Germany","Alemanha","Deutsche Lufthansa","BFW M-18",4,"Falha do motor.","1927",2,122,"Europa"
"09/23/1927","Germany","Alemanha","Deutsche Lufthansa","Dornier Merkur",6,"Suporte de asa quebrada.","1927",6,123,"Europa"
